Date;Abf. Stoffe [mg/l];Al filt. [µg/l];NH3-N [µg/l];NH4-N [mg/l];BSB5 (EN1899, ohne ATH) [mg/l];Ca filt. [mg/l];Chlorid [mg/l];Fe filt. [mg/l];LF (20 °C) vor Ort [µS/cm];DOC [mg/l];K filt. [mg/l];Mg filt. [mg/l];Mn filt. [mg/l];Na filt. [mg/l];NO3 [mg/l];NO3-N [mg/l];NO2-N [mg/l];pH-Wert (vor Ort) [-];o-PO4-P [mg/l];P-ges. [mg/l];P-ges. filt. [mg/l];O2-gelöst [mg/l];SO4 [mg/l];KS 4,3 [mmol/l];TOC [mg/l];Wassertemp.(vor Ort) [°C]
1995-12-15;7.0;;;0.555;2.3;;15.5;;399.0;;;;;;;1.0;;8.0;0.032;0.048;;11.3;26.0;3.71;1.9;3.6
1996-01-15;4.5;;;0.51;1.5;;8.0;;372.5;;;;;;;0.85;;8.05;0.024;0.037;;10.9;16.5;3.795;1.45;3.05
1996-02-15;7.333;;;0.747;2.1;;16.0;;411.667;;;;;;;0.833;;8.267;0.023;0.032;;12.933;25.0;3.947;1.933;1.867
1996-03-15;4.0;;;0.58;2.05;;10.5;;356.0;;;;;;;1.0;;8.45;0.016;0.032;;14.35;21.5;3.595;2.55;2.5
1996-04-15;22.0;;;0.195;1.8;;4.0;;272.0;;;;;;;0.9;;8.05;0.008;0.022;;12.4;18.0;2.905;1.5;6.4
1996-05-15;15.0;;;0.26;1.9;;5.0;;256.0;;;;;;;0.65;;7.9;0.017;0.034;;10.45;15.0;2.59;2.0;8.1
1996-06-15;11.0;;;0.105;1.0;;6.0;;303.5;;;;;;;0.75;;8.05;0.012;0.024;;9.85;19.5;3.11;1.85;11.8
1996-07-15;17.333;;;0.097;1.4;;6.0;;301.667;;;;;;;0.767;;8.033;0.016;0.04;;10.667;16.0;3.073;2.8;11.833
1996-08-15;20.5;;;0.055;1.15;;5.0;;287.5;;;;;;;0.6;;8.15;0.012;0.038;;10.6;14.5;4.25;3.6;10.5
1996-09-15;12.0;;;0.135;1.2;;6.5;;325.5;;;;;;;0.75;;8.0;0.012;0.024;;10.7;18.0;3.345;1.8;9.4
1996-10-15;26.0;;;0.16;1.3;;4.5;;335.5;;;;;;;0.8;;8.0;0.012;0.022;;10.85;18.0;3.435;2.2;7.5
1996-11-15;10.0;;;0.11;1.6;;5.0;;346.0;;;;;;;0.7;;8.05;0.014;0.022;;11.7;18.0;3.495;2.6;5.6
1996-12-15;9.0;;;0.08;1.4;;9.0;;374.0;;;;;;;0.9;;8.2;0.013;0.022;;12.4;16.0;3.805;2.55;3.1
1997-01-15;5.0;;;0.503;2.267;;10.333;;397.0;;;;;;;0.9;;8.133;0.012;0.022;;12.667;21.333;3.923;1.8;1.75
1997-02-15;63.0;;;0.7;7.0;;12.0;;320.0;;;;;;;0.85;;7.95;0.05;0.22;;11.5;7.0;3.365;6.05;4.35
1997-03-15;15.0;;;0.43;1.7;;8.0;;333.0;;;;;;;0.7;;8.2;0.024;0.052;;11.85;14.5;3.315;2.4;5.55
1997-04-15;7.0;;;0.3;1.7;;6.5;;338.0;;;;;;;0.8;;8.15;0.01;0.021;;12.3;14.5;3.47;1.9;5.8
1997-05-15;57.0;;;0.165;1.55;;3.0;;225.5;;;;;;;0.35;;8.1;0.016;0.084;;11.45;8.5;2.375;2.9;6.7
1997-06-15;9.0;;;0.185;1.0;;5.5;;273.0;;;;;;;0.8;;8.15;0.01;0.02;;10.15;16.0;2.67;1.1;11.35
1997-07-15;8.333;;;0.127;1.4;;4.667;;310.667;;;;;;;0.667;;8.133;0.015;0.033;;10.233;14.667;3.237;2.067;11.4
1997-08-15;13.0;;;0.17;1.2;;6.0;;340.0;;;;;;;0.7;;8.15;0.016;0.026;;9.35;19.5;3.385;1.35;14.35
1997-09-15;8.5;;;0.3;1.4;;8.0;;358.0;;;;;;;0.8;;8.15;0.018;0.026;;9.35;20.5;3.525;1.3;12.25
1997-10-15;6.0;;;0.215;1.1;;6.5;;335.5;;;;;;;0.75;;8.2;0.017;0.029;;9.6;15.5;3.395;1.95;10.5
1997-11-15;4.0;;;0.16;1.15;;7.0;;366.0;;;;;;;0.95;;8.2;0.014;0.023;;11.45;25.0;3.58;1.1;5.85
1997-12-15;7.5;;;0.207;1.7;;8.0;;357.0;;;;;;;0.7;;8.233;0.016;0.029;;11.767;19.333;3.61;2.7;3.467
1998-01-15;9.5;;;0.33;1.3;;8.0;;378.0;;;;;;;0.9;;8.2;0.021;0.029;;11.85;21.0;3.77;2.05;2.0
1998-02-15;4.0;;;0.255;1.35;;10.5;;382.5;;;;;;;0.9;;8.2;0.02;0.032;;11.9;21.5;3.7;2.6;4.75
1998-03-15;8.0;;;0.225;1.4;;8.5;;368.0;;;;;;;0.8;;8.2;0.013;0.027;;13.05;14.5;3.685;2.35;2.75
1998-04-15;8.0;;;0.22;1.4;;5.5;;318.5;;;;;;;0.65;;8.25;0.012;0.027;;9.85;13.0;3.22;2.55;6.9
1998-05-15;4.0;;;0.165;1.5;;4.5;;285.0;;;;;;;0.65;;8.2;0.012;0.022;;11.3;13.5;2.83;1.15;7.85
1998-06-15;5.0;;;0.055;1.0;;4.0;;273.5;;;;;;;0.55;;8.25;0.009;0.016;;10.65;16.0;2.735;0.9;11.05
1998-07-15;6.0;;;0.08;1.367;;4.333;;294.667;;;;;;;0.633;;8.233;0.021;0.04;;9.933;18.667;2.957;1.8;12.833
1998-08-15;5.0;;;0.047;1.3;;5.333;;325.333;;;;;;;0.667;;8.3;0.01;0.02;;9.533;20.667;3.307;1.4;13.167
1998-09-15;< BG;;;0.05;1.0;;4.0;;308.0;;;;;;;0.6;;8.3;0.008;0.016;;10.3;16.0;3.21;2.7;11.2
1998-10-15;< BG;;;0.06;1.1;;4.0;;325.0;;;;;;;0.55;;8.2;0.008;0.022;;11.45;17.5;3.445;1.55;8.15
1998-11-15;;;;;;;;;;;;;;;;;;;;;;;;;;
1998-12-15;;;;;;;;;;;;;;;;;;;;;;;;;;
1999-01-15;10.0;;;0.425;2.35;;13.0;;360.0;;;;;;;0.9;;8.15;0.022;0.054;;12.5;12.0;3.51;3.0;2.25
1999-02-15;< BG;;;0.28;1.9;;13.0;;381.0;;;;;;;0.9;;8.15;0.012;0.027;;12.8;14.5;3.735;2.0;0.9
1999-03-15;3.5;;;0.16;1.4;;11.0;;347.0;;;;;;;1.0;;8.1;0.026;0.043;;11.95;14.0;3.44;2.5;4.1
1999-04-15;13.5;;;0.125;2.2;;5.0;;265.5;;;;;;;0.65;;8.25;0.01;0.035;;11.3;10.0;2.74;2.35;5.65
1999-05-15;30.0;;;0.06;1.2;;2.5;;224.5;;;;;;;0.5;;8.2;0.006;0.049;;11.2;8.0;2.425;1.4;7.3
1999-06-15;19.25;;;0.078;1.1;;3.75;;263.0;;;;;;;0.475;;8.25;0.012;0.041;;10.525;12.25;2.812;1.675;9.875
1999-07-15;21.5;;;0.11;1.8;;3.5;;283.5;;;;;;;0.55;;8.2;0.012;0.042;;9.95;15.0;2.99;1.7;11.95
1999-08-15;5.5;;;0.08;1.2;;3.5;;303.5;;;;;;;0.55;;8.2;0.012;0.03;;9.75;17.0;3.135;1.5;12.15
1999-09-15;6.0;;;0.1;1.0;;5.5;;332.5;;;;;;;0.65;;8.2;0.012;0.026;;9.35;22.5;3.285;1.45;12.8
1999-10-15;6.0;;;0.07;1.5;;4.5;;343.5;;;;;;;0.65;;8.2;0.014;0.026;;10.95;21.0;3.56;1.7;7.55
1999-11-15;14.0;;;0.08;1.55;;8.5;;378.5;;;;;;;0.8;;8.2;0.017;0.034;;10.95;22.5;3.79;1.65;6.85
1999-12-15;5.0;;;0.123;1.833;;9.0;;370.0;;;;;;;0.833;;8.2;0.016;0.03;;11.9;17.667;3.73;2.267;3.1
2000-01-15;< BG;;8.6;0.375;1.8;;15.0;;403.5;;;;;;4.0;0.9;;8.3;0.01;0.018;;12.95;19.5;3.905;1.8;3.8
2000-02-15;< BG;;4.65;0.215;1.95;;12.0;;370.5;;;;;;3.75;0.85;;8.2;0.02;0.028;;11.85;17.5;3.635;1.85;3.6
2000-03-15;4.0;;5.15;0.21;1.6;;9.5;;356.0;;;;;;4.0;0.9;;8.25;0.015;0.028;;11.45;15.5;3.595;1.8;4.35
2000-04-15;3.0;;3.75;0.13;1.3;;6.5;;322.5;;;;;;3.3;0.75;;8.25;0.008;0.018;;10.9;16.0;3.29;1.55;6.0
2000-05-15;69.0;;2.667;0.08;1.8;;3.667;;212.667;;;;;;2.067;0.467;;8.233;0.008;0.102;;10.9;9.0;2.373;2.167;7.9
2000-06-15;29.0;;3.3;0.075;1.5;;6.0;;287.5;;;;;;2.45;0.55;;8.25;0.012;0.052;;10.25;13.5;2.995;1.45;10.9
2000-07-15;177.5;;2.95;0.065;1.75;;4.0;;253.5;;;;;;2.0;0.45;;8.3;0.012;0.196;;10.2;10.0;3.19;5.25;10.8
2000-08-15;57.0;;5.65;0.125;1.8;;5.0;;301.5;;;;;;2.85;0.65;;8.2;0.029;0.115;;9.85;13.5;3.28;2.7;12.45
2000-09-15;17.0;;0.785;0.015;1.2;;5.0;;324.0;;;;;;2.65;0.6;;8.35;0.016;0.038;;10.3;14.5;3.355;1.8;10.45
2000-10-15;< BG;;1.283;0.03;1.3;;5.667;;342.333;;;;;;2.967;0.667;;8.3;0.012;0.022;;10.767;17.667;3.58;1.5;9.3
2000-11-15;< BG;;1.65;0.055;1.35;;7.0;;373.0;;;;;;2.9;0.65;;8.25;0.014;0.026;;11.0;19.0;3.82;1.75;6.95
2000-12-15;< BG;;4.5;0.16;1.6;;8.5;;380.0;;;;;;3.3;0.75;;8.25;0.014;0.022;;11.45;22.0;3.785;1.15;5.45
2001-01-15;< BG;;9.3;0.34;2.7;;16.5;;407.0;;;;;;4.2;0.95;;8.3;0.013;0.023;;12.4;19.5;3.9;2.2;3.7
2001-02-15;5.0;;5.75;0.195;1.95;;9.5;;364.0;;;;;;4.0;0.9;;8.3;0.026;0.046;;11.9;16.5;3.615;2.65;4.9
2001-03-15;6.5;;2.65;0.115;2.1;;7.5;;329.5;;;;;;3.55;0.8;;8.2;0.018;0.038;;12.4;11.5;3.395;2.55;4.7
2001-04-15;8.0;;2.4;0.085;1.6;;5.5;;323.0;;;;;;3.1;0.7;;8.2;0.014;0.032;;11.05;16.0;3.35;2.1;6.7
2001-05-15;32.667;;1.867;0.043;1.7;;2.333;;228.0;;;;;;1.933;0.433;;8.3;0.007;0.045;;11.033;11.667;2.42;1.1;9.467
2001-06-15;19.5;;1.3;0.035;1.9;;5.0;;293.5;;;;;;2.45;0.55;;8.2;0.01;0.034;;10.35;15.0;3.09;1.4;10.8
2001-07-15;< BG;;1.765;0.04;< BG;;4.0;;316.5;;;;;;2.7;0.6;;8.15;0.016;0.022;;9.8;19.5;3.24;0.85;13.65
2001-08-15;20.0;;2.15;0.045;1.1;;5.0;;324.5;;;;;;2.7;0.6;;8.2;0.014;0.036;;9.55;19.0;3.285;1.15;14.1
2001-09-15;17.0;;1.52;0.04;1.15;;3.5;;292.5;;;;;;2.25;0.5;;8.2;0.013;0.035;;9.7;13.0;3.1;2.55;10.5
2001-10-15;22.0;;0.74;0.02;1.1;;6.0;;347.667;;;;;;2.967;0.667;;8.2;0.01;0.031;;9.833;21.333;3.483;1.133;10.633
2001-11-15;5.0;;1.8;0.08;1.7;;8.5;;361.0;;;;;;2.9;0.65;;8.15;0.014;0.025;;11.25;16.5;3.65;2.2;5.45
2001-12-15;< BG;;4.8;0.2;1.5;;7.5;;365.5;;;;;;3.3;0.75;;8.3;0.014;0.021;;12.3;19.0;3.68;1.65;2.6
2002-01-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-02-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-03-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-04-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-05-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-06-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-07-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-08-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-09-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-10-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-11-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2002-12-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-01-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-02-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-03-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-04-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-05-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-06-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-07-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-08-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-09-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-10-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-11-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2003-12-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-01-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-02-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-03-15;4.0;;5.05;0.25;1.5;;18.0;;377.5;;;;;;4.0;0.9;0.011;8.15;0.008;0.022;;12.35;17.0;3.435;2.2;3.4
2004-04-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-05-15;< BG;;0.71;0.03;1.3;;6.0;;302.0;;;;;;3.1;0.69;0.005;8.1;0.01;0.022;;11.8;15.0;3.21;1.7;7.8
2004-06-15;532.0;;0.8;0.02;2.6;;4.0;;219.0;;;;;;2.7;0.61;0.005;8.3;0.009;0.28;;12.0;5.0;;15.0;8.8
2004-07-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-08-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-09-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-10-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-11-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-12-15;2.0;;0.83;0.04;2.2;;22.0;;412.0;;;;;;3.9;0.89;0.006;8.3;0.01;0.021;;12.7;25.0;3.68;1.4;0.4
2005-01-15;2.0;;8.8;0.37;1.3;;11.0;;396.0;;;;;;3.7;0.83;0.009;8.3;0.007;0.016;;12.7;25.0;3.99;1.4;2.1
2005-02-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-03-15;< BG;;14.0;0.64;2.4;;19.0;;422.0;;;;;;4.1;0.92;0.01;8.3;0.009;0.019;;13.6;22.0;4.14;1.8;1.0
2005-04-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-05-15;12.0;;1.7;0.06;1.4;;7.0;;311.0;;;;;;3.1;0.69;< BG;8.2;0.006;0.012;;11.5;17.0;3.29;2.6;7.5
2005-06-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-07-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-08-15;3912.0;;2.033;0.043;;;4.0;;231.667;;;;;;2.133;0.477;0.005;8.2;0.007;0.099;;10.767;;;59.567;13.8
2005-09-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-10-15;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-11-15;< BG;;1.8;0.07;1.8;;16.0;;412.0;;;;;;4.0;0.91;0.012;8.3;< BG;0.009;;12.8;27.0;3.92;1.0;3.0
2005-12-15;5.0;;2.0;0.08;2.0;;23.0;;446.0;;;;;;4.8;1.085;0.012;8.25;0.008;0.022;;11.95;18.0;4.03;2.75;3.4
2006-01-15;4.5;;10.45;0.435;2.3;;21.0;;440.0;;;;;;4.2;0.95;0.01;8.3;0.008;0.023;;13.3;16.0;3.897;1.9;3.1
2006-02-15;4.0;;12.0;0.55;2.2;;23.0;;436.5;;;;;;3.95;0.895;0.008;8.3;0.014;0.033;;13.1;25.0;3.915;1.55;1.25
2006-03-15;81.8;;7.033;0.33;1.967;;20.333;;377.333;;;;;;4.7;1.057;0.006;8.233;0.019;0.078;;12.3;16.667;3.473;3.833;2.5
2006-04-15;33.1;;3.0;0.13;1.45;;10.0;;301.0;;;;;;3.3;0.75;0.007;8.2;0.01;0.036;;12.0;14.0;2.92;1.95;5.4
2006-05-15;29.0;;2.75;0.075;1.5;;6.0;;254.5;;;;;;2.2;0.505;< BG;8.25;< BG;0.026;;10.8;12.0;2.6;1.1;9.2
2006-06-15;8.3;;2.7;0.065;1.3;;7.0;;293.0;;;;;;2.55;0.575;< BG;8.25;0.007;0.024;;9.85;21.0;2.94;1.15;12.0
2006-07-15;4.2;;1.15;0.02;< BG;;13.0;;344.0;;;;;;2.9;0.655;0.008;8.2;0.006;0.017;;9.7;23.5;3.19;1.15;16.8
2006-08-15;111.133;;3.027;0.07;1.85;;7.333;;300.0;;;;;;2.833;0.64;0.027;8.167;0.014;0.074;;9.767;15.717;3.053;2.433;12.967
2006-09-15;2.9;;0.93;0.02;< BG;;7.5;;323.0;;;;;;2.85;0.65;< BG;8.2;0.005;0.016;;9.6;18.0;3.48;1.5;13.5
2006-10-15;18.0;;0.885;0.02;1.0;;8.05;;356.0;;;;;;2.8;0.625;0.005;8.25;0.017;0.029;;9.65;22.0;3.515;1.65;10.55
2006-11-15;5.9;;1.03;0.035;1.3;;8.0;;357.5;;;;;;3.05;0.68;0.006;8.25;< BG;0.012;;10.55;23.5;3.57;1.95;6.5
2006-12-15;2.2;;0.99;0.075;1.5;;9.5;;374.0;;;;;;3.25;0.725;0.007;8.3;0.006;0.012;;11.5;24.0;3.685;1.8;4.25
2007-01-15;16.167;;3.8;0.173;2.0;;9.667;;340.333;;;;;;3.833;0.863;0.007;8.233;0.012;0.026;;12.033;20.0;;2.133;3.5
2007-02-15;11.8;;4.6;0.163;2.3;;11.0;;339.667;;;;;;3.767;0.853;0.007;8.233;0.012;0.065;;11.9;;;3.0;5.8
2007-03-15;6.533;;;0.17;1.7;;10.333;;349.333;;;;;;3.5;0.787;0.007;;< BG;0.026;;12.0;;;2.6;6.5
2007-04-15;3.6;;5.5;0.135;1.15;;7.5;;311.0;;;;;;2.55;0.57;0.01;8.25;< BG;0.006;;10.2;;;1.55;9.85
2007-05-15;101.3;;5.35;0.135;2.4;;6.15;;272.5;;;;;;2.5;0.565;0.012;8.2;0.063;0.1;;10.05;;;5.95;10.65
2007-06-15;33.1;;0.76;0.015;< BG;;4.5;;292.0;;;;;;2.35;0.525;< BG;8.25;0.006;0.047;;9.95;;;1.8;14.25
2007-07-15;11.35;;2.07;0.04;1.6;;5.825;;319.0;;;;;;2.4;0.545;0.008;8.25;0.014;0.04;;9.975;;;2.075;13.575
2007-08-15;3.1;;1.1;0.02;< BG;;8.15;;352.0;;;;;;2.45;0.56;< BG;8.25;0.012;0.011;;9.6;;;1.2;14.9
2007-09-15;7.7;;2.225;0.055;1.2;;5.6;;340.0;;;;;;2.55;0.575;0.007;8.2;0.008;0.018;;9.8;18.0;;1.45;12.15
2007-10-15;< BG;;0.545;0.02;1.2;;8.0;;374.0;;;;;;2.75;0.625;0.007;8.2;< BG;0.011;;10.25;;;1.35;6.6
2007-11-15;3.9;;1.195;0.055;1.5;;10.5;;394.0;;;;;;3.05;0.69;0.008;8.2;0.006;0.011;;11.4;25.0;;1.65;5.2
2007-12-15;6.2;;0.69;0.025;1.5;;8.5;;368.0;;;;;;2.95;0.665;0.006;8.25;0.012;0.028;;12.25;;;1.95;3.15
2008-01-15;< BG;;6.5;0.347;1.8;;15.0;;404.333;;;;;;3.233;0.727;0.011;8.167;0.007;0.015;;11.333;;;1.7;3.333
2008-02-15;5.4;;10.4;0.39;< BG;;11.0;;373.0;;;;;;3.15;0.71;0.01;8.2;0.014;0.018;;11.85;;;1.75;5.95
2008-03-15;< BG;;8.0;0.4;1.35;;16.0;;393.5;;;;;;3.25;0.735;0.008;8.15;0.03;0.042;;11.2;;;2.3;4.25
2008-04-15;17.6;;3.35;0.09;3.0;;7.0;;309.5;;;;;;2.9;0.655;0.006;8.3;0.009;0.036;;12.1;;;2.35;6.6
2008-05-15;17.5;;1.6;0.05;1.3;;3.4;;235.5;;;;;;1.85;0.415;< BG;8.2;< BG;0.022;;10.75;;;1.15;8.9
2008-06-15;8.133;;3.25;0.087;1.367;;6.333;;279.667;;;;;;2.167;0.49;0.01;8.25;0.007;0.018;;9.733;;;1.0;12.633
2008-07-15;32.0;;1.5;0.03;1.1;;6.0;;312.0;;;;;;2.5;0.555;< BG;8.25;0.008;0.042;;9.85;;;1.6;13.1
2008-08-15;4.3;;;< BG;< BG;;6.0;;317.5;;;;;;2.2;0.5;< BG;8.3;< BG;0.014;;9.8;;;1.15;13.85
2008-09-15;< BG;;1.025;0.02;< BG;;8.5;;356.0;;;;;;3.0;0.675;0.008;8.25;< BG;0.009;;9.65;;;1.2;11.5
2008-10-15;43.0;;1.865;0.05;1.75;;6.5;;323.5;;;;;;2.55;0.57;0.011;8.25;< BG;0.029;;10.1;;;2.35;10.05
2008-11-15;2.0;;2.0;0.06;1.35;;7.55;;363.0;;;;;;2.6;0.595;0.009;8.25;0.007;0.012;;10.6;;;2.05;7.15
2008-12-15;< BG;;3.4;0.145;1.3;;15.0;;405.0;;;;;;3.1;0.695;0.008;8.25;< BG;0.014;;11.2;;;1.7;3.45
2009-01-15;< BG;;9.333;0.42;2.25;;15.0;;413.0;;;;;;3.133;0.703;0.009;8.3;0.01;0.018;;12.367;;;1.767;1.5
2009-02-15;9.9;;16.333;0.623;2.1;;29.333;;452.667;;;;;;3.567;0.803;0.012;8.267;0.011;0.03;;11.833;;;2.033;4.2
2009-03-15;10.65;;12.0;0.52;2.0;;32.5;;432.0;;;;;;4.4;1.0;0.01;8.2;0.016;0.05;;11.8;;;3.4;4.4
2009-04-15;18.0;;3.0;0.08;1.3;;5.5;;273.5;;;;;;2.7;0.6;< BG;8.3;< BG;0.027;;11.5;;;1.75;7.75
2009-05-15;9.0;;4.4;0.1;1.45;;5.5;;273.5;;;;;;2.2;0.505;0.007;8.35;< BG;0.016;;11.05;;;1.35;8.55
2009-06-15;6.6;;2.3;0.047;1.0;;6.867;;310.667;;;;;;2.433;0.543;0.01;8.267;0.007;0.013;;9.767;;;1.5;13.733
2009-07-15;14.0;;2.15;0.03;1.8;;10.4;;321.5;;;;;;2.6;0.58;0.009;8.35;0.014;0.044;;9.65;;;2.1;14.85
2009-08-15;8.3;;1.5;0.02;< BG;;7.0;;339.0;;;;;;2.75;0.615;0.005;8.35;0.012;0.019;;9.2;;;1.45;15.9
2009-09-15;9.5;;1.9;0.03;1.2;;6.0;;326.0;;;;;;2.2;0.5;< BG;8.4;0.009;0.027;;10.2;;;2.3;11.7
2009-10-15;< BG;;1.175;0.025;1.0;;9.0;;367.0;;;;;;2.7;0.605;0.007;8.3;0.012;0.023;;10.3;;;2.3;9.7
2009-11-15;39.0;;2.025;0.05;3.25;;6.0;;302.0;;;;;;2.55;0.575;0.011;8.3;0.024;0.084;;10.6;;;4.4;8.45
2009-12-15;4.5;;2.5;0.065;1.75;;11.0;;376.0;;;;;;3.2;0.72;0.007;8.4;0.018;0.028;;11.0;;;2.2;4.9
2010-01-15;2.1;;4.85;0.26;1.8;;15.5;;408.5;;;;;;3.5;0.8;0.01;8.2;0.006;0.011;0.008;11.9;;;1.7;1.95
2010-02-15;< BG;;7.4;0.35;1.5;;33.5;;475.0;;;;;;3.85;0.875;0.012;8.2;< BG;0.012;0.008;11.75;;;2.15;3.1
2010-03-15;10.1;;5.9;0.23;2.25;;14.0;;366.5;;;;;;3.7;0.83;0.006;8.3;0.008;0.026;0.01;12.15;;;2.15;4.55
2010-04-15;3.6;;5.75;0.165;1.5;;10.0;;329.5;;;;;;2.95;0.665;0.009;8.25;0.008;0.014;0.008;10.85;;;1.3;8.3
2010-05-15;5.9;;0.655;0.02;1.2;;6.5;;302.0;;;;;;2.7;0.605;0.006;8.2;< BG;0.015;0.007;10.7;;;1.45;9.05
2010-06-15;23.3;;0.777;0.017;1.6;;7.667;;317.0;;;;;;2.667;0.603;< BG;8.267;0.011;0.036;0.012;10.4;;;1.767;12.433
2010-07-15;12.05;;3.2;0.04;1.3;;7.0;;330.5;;;;;;2.5;0.565;0.008;8.3;0.014;0.028;0.012;9.3;;;1.75;12.4
2010-08-15;3.5;;1.135;0.02;< BG;;7.7;;348.5;;;;;;2.45;0.56;0.005;8.25;0.007;0.014;0.01;9.6;;;1.7;14.8
2010-09-15;2.3;;0.995;0.02;< BG;;9.7;;363.0;;;;;;3.2;0.73;0.006;8.3;0.013;0.016;0.012;10.4;;;1.2;12.5
2010-10-15;16.0;;2.35;0.06;1.9;;8.5;;359.0;;;;;;3.75;0.845;0.01;8.25;0.045;0.062;0.049;10.2;;;4.65;9.55
2010-11-15;17.0;;0.405;0.015;1.1;;6.5;;357.5;;;;;;2.7;0.615;< BG;8.2;0.007;0.021;0.008;10.5;;;2.05;6.9
2010-12-15;< BG;;0.92;0.04;1.7;;14.0;;409.0;;;;;;3.15;0.715;0.006;8.3;0.008;0.017;0.011;12.05;;;2.8;2.1
2011-01-15;< BG;;2.9;0.135;1.25;;16.0;;403.5;;;;;;3.4;0.77;0.007;8.2;0.012;0.019;;11.65;;;2.5;3.7
2011-02-15;2.1;;3.9;0.14;1.35;;15.0;;410.5;;;;;;3.8;0.85;0.01;8.3;0.006;0.011;;11.9;;;1.9;3.9
2011-03-15;< BG;;2.0;0.065;1.4;;13.0;;397.5;;;;;;3.5;0.79;0.01;8.3;0.005;0.012;;11.7;;;1.85;5.2
